-0.990437,-0.137963,0,0,0.137963,-0.990437,0,0,0,0,1,0,0,0,0,1|-0.810452,-0.112894,-0.574823,0,-0.569327,-0.0793017,0.818277,0,-0.137963,0.990437,-3.61999e-06,0,0,0,0,1|-0.0488119,0.996842,0.062641,0,0.82066,0.00427837,0.5714,0,0.569328,0.0792981,-0.818277,0,0,0,0,1|-0.0488119,0.996842,0.062641,0,0.82066,0.00427837,0.5714,0,0.569328,0.0792981,-0.818277,0,0.142332,0.0198245,-0.204569,1|-0.0488119,0.996842,0.062641,0,0.569325,0.0792981,-0.818279,0,-0.820662,-0.00427866,-0.571397,0,0.142332,0.0198245,-0.204569,1|-0.0488119,0.996842,0.062641,0,0.569325,0.0792981,-0.818279,0,-0.820662,-0.00427866,-0.571397,0,-0.0628337,0.0187549,-0.347419,1||
-0.990437,-0.137963,0,0,0.137963,-0.990437,0,0,0,0,1,0,0,0,0,1|-0.973058,-0.135542,0.186512,0,0.184728,0.0257354,0.982453,0,-0.137963,0.990437,-3.61999e-06,0,0,0,0,1|-0.0310929,0.99931,-0.0203343,0,0.982298,0.0267909,-0.1854,0,-0.184728,-0.025739,-0.982453,0,0,0,0,1|-0.0310929,0.99931,-0.0203343,0,0.982298,0.0267909,-0.1854,0,-0.184728,-0.025739,-0.982453,0,-0.0461819,-0.00643474,-0.245613,1|-0.0310929,0.99931,-0.0203343,0,-0.184731,-0.0257391,-0.982452,0,-0.982297,-0.0267908,0.185404,0,-0.0461819,-0.00643474,-0.245613,1|-0.0310929,0.99931,-0.0203343,0,-0.184731,-0.0257391,-0.982452,0,-0.982297,-0.0267908,0.185404,0,-0.291756,-0.0131325,-0.199262,1||
-0.990437,-0.137963,0,0,0.137963,-0.990437,0,0,0,0,1,0,0,0,0,1|-0.494865,-0.0689293,0.866232,0,0.857948,0.11951,0.499643,0,-0.137963,0.990437,-3.61999e-06,0,0,0,0,1|-0.0832115,0.99205,-0.0944123,0,0.506954,-0.0394248,-0.861071,0,-0.857947,-0.119514,-0.499643,0,0,0,0,1|-0.0832115,0.99205,-0.0944123,0,0.506954,-0.0394248,-0.861071,0,-0.857947,-0.119514,-0.499643,0,-0.214487,-0.0298784,-0.124911,1|-0.0832115,0.992049,-0.0944123,0,-0.857949,-0.119514,-0.49964,0,-0.506951,0.0394252,0.861073,0,-0.214487,-0.0298784,-0.124911,1|-0.0832115,0.992049,-0.0944123,0,-0.857949,-0.119514,-0.49964,0,-0.506951,0.0394252,0.861073,0,-0.341225,-0.0200221,0.0903575,1||
-0.990437,-0.137963,0,0,0.137963,-0.990437,0,0,0,0,1,0,0,0,0,1|-0.494865,-0.0689293,0.866232,0,0.857948,0.11951,0.499643,0,-0.137963,0.990437,-3.61999e-06,0,0,0,0,1|0.198785,0.819577,-0.53738,0,0.47372,-0.560365,-0.679396,0,-0.857947,-0.119514,-0.499643,0,0,0,0,1|0.198785,0.819577,-0.53738,0,0.47372,-0.560365,-0.679396,0,-0.857947,-0.119514,-0.499643,0,-0.214487,-0.0298784,-0.124911,1|0.198785,0.819577,-0.53738,0,-0.857949,-0.119512,-0.49964,0,-0.473717,0.560366,0.679398,0,-0.214487,-0.0298784,-0.124911,1|0.198785,0.819577,-0.53738,0,-0.857949,-0.119512,-0.49964,0,-0.473717,0.560366,0.679398,0,-0.332916,0.110213,0.0449389,1||
-0.990437,-0.137963,0,0,0.137963,-0.990437,0,0,0,0,1,0,0,0,0,1|-0.494865,-0.0689293,0.866232,0,0.857948,0.11951,0.499643,0,-0.137963,0.990437,-3.61999e-06,0,0,0,0,1|0.511816,-0.282877,-0.811187,0,-0.0443894,-0.951681,0.303862,0,-0.857947,-0.119514,-0.499643,0,0,0,0,1|0.511816,-0.282877,-0.811187,0,-0.0443894,-0.951681,0.303862,0,-0.857947,-0.119514,-0.499643,0,-0.214487,-0.0298784,-0.124911,1|0.511816,-0.282877,-0.811187,0,-0.857947,-0.11951,-0.499644,0,0.0443925,0.951682,-0.303861,0,-0.214487,-0.0298784,-0.124911,1|0.511816,-0.282877,-0.811187,0,-0.857947,-0.11951,-0.499644,0,0.0443925,0.951682,-0.303861,0,-0.203389,0.208042,-0.200876,1||
-0.990437,-0.137963,0,0,0.137963,-0.990437,0,0,0,0,1,0,0,0,0,1|-0.494865,-0.0689293,0.866232,0,0.857948,0.11951,0.499643,0,-0.137963,0.990437,-3.61999e-06,0,0,0,0,1|0.308564,-0.897472,-0.315169,0,-0.410749,-0.42457,0.806862,0,-0.857947,-0.119514,-0.499643,0,0,0,0,1|0.308564,-0.897472,-0.315169,0,-0.410749,-0.42457,0.806862,0,-0.857947,-0.119514,-0.499643,0,-0.214487,-0.0298784,-0.124911,1|0.308564,-0.897472,-0.315169,0,-0.857946,-0.119512,-0.499646,0,0.410752,0.424571,-0.80686,0,-0.214487,-0.0298784,-0.124911,1|0.308564,-0.897472,-0.315169,0,-0.857946,-0.119512,-0.499646,0,0.410752,0.424571,-0.80686,0,-0.111799,0.0762642,-0.326626,1||
-0.990437,-0.137963,0,0,0.137963,-0.990437,0,0,0,0,1,0,0,0,0,1|-0.494865,-0.0689293,0.866232,0,0.857948,0.11951,0.499643,0,-0.137963,0.990437,-3.61999e-06,0,0,0,0,1|-0.119977,-0.899059,0.421069,0,-0.499532,0.421201,0.757006,0,-0.857947,-0.119514,-0.499643,0,0,0,0,1|-0.119977,-0.899059,0.421069,0,-0.499532,0.421201,0.757006,0,-0.857947,-0.119514,-0.499643,0,-0.214487,-0.0298784,-0.124911,1|-0.119977,-0.899059,0.421069,0,-0.857946,-0.119515,-0.499646,0,0.499535,-0.4212,-0.757004,0,-0.214487,-0.0298784,-0.124911,1|-0.119977,-0.899059,0.421069,0,-0.857946,-0.119515,-0.499646,0,0.499535,-0.4212,-0.757004,0,-0.0896031,-0.135179,-0.314162,1||
-0.990437,-0.137963,0,0,0.137963,-0.990437,0,0,0,0,1,0,0,0,0,1|-0.494865,-0.0689293,0.866232,0,0.857948,0.11951,0.499643,0,-0.137963,0.990437,-3.61999e-06,0,0,0,0,1|-0.436604,-0.342932,0.83173,0,-0.270747,0.931727,0.242037,0,-0.857947,-0.119514,-0.499643,0,0,0,0,1|-0.436604,-0.342932,0.83173,0,-0.270747,0.931727,0.242037,0,-0.857947,-0.119514,-0.499643,0,-0.214487,-0.0298784,-0.124911,1|-0.436604,-0.342932,0.83173,0,-0.857946,-0.119517,-0.499644,0,0.27075,-0.931726,-0.242035,0,-0.214487,-0.0298784,-0.124911,1|-0.436604,-0.342932,0.83173,0,-0.857946,-0.119517,-0.499644,0,0.27075,-0.931726,-0.242035,0,-0.146799,-0.26281,-0.18542,1||
-0.990437,-0.137963,0,0,0.137963,-0.990437,0,0,0,0,1,0,0,0,0,1|0.400977,0.0558576,0.914384,0,0.90564,0.12615,-0.404849,0,-0.137963,0.990437,-3.61999e-06,0,0,0,0,1|0.4224,-0.184283,0.887478,0,-0.0373518,0.974743,0.220182,0,-0.905639,-0.126154,0.404849,0,0,0,0,1|0.4224,-0.184283,0.887478,0,-0.0373518,0.974743,0.220182,0,-0.905639,-0.126154,0.404849,0,-0.22641,-0.0315384,0.101212,1|0.4224,-0.184283,0.887478,0,-0.905639,-0.126157,0.404848,0,0.0373551,-0.974743,-0.220183,0,-0.22641,-0.0315384,0.101212,1|0.4224,-0.184283,0.887478,0,-0.905639,-0.126157,0.404848,0,0.0373551,-0.974743,-0.220183,0,-0.217071,-0.275224,0.0461664,1||
-0.990437,-0.137963,0,0,0.137963,-0.990437,0,0,0,0,1,0,0,0,0,1|0.921977,0.128429,0.365327,0,0.361834,0.0503985,-0.930879,0,-0.137963,0.990437,-3.61999e-06,0,0,0,0,1|0.92807,-0.113848,0.354577,0,0.0881071,0.992219,0.0879706,0,-0.361834,-0.0504021,0.930879,0,0,0,0,1|0.92807,-0.113848,0.354577,0,0.0881071,0.992219,0.0879706,0,-0.361834,-0.0504021,0.930879,0,-0.0904584,-0.0126005,0.23272,1|0.92807,-0.113848,0.354577,0,-0.361834,-0.0504056,0.930879,0,-0.0881058,-0.992219,-0.0879739,0,-0.0904584,-0.0126005,0.23272,1|0.92807,-0.113848,0.354577,0,-0.361834,-0.0504056,0.930879,0,-0.0881058,-0.992219,-0.0879739,0,-0.112485,-0.260655,0.210726,1||
